;Nom entreprise;dirigeant;siret;dateCreationEntreprise;chiffreAffaire;effectifEntreprise;contact
10;SARL ETABLISSEMENT FORGEARD;LAURENT FORGEARD / Christele FORGEARD;41199124300022;01/03/1971;1,21 millions euros;5 salariés;11 RUE DE MONTIGNY 45170 NEUVILLE-AUX-BOIS|02 38 91 03 07|forgeard.sarl@forgeard.fr
11;PEIX ENTREPRISE;PAUL PEIX;34220846900011;01/09/1987;206 924 euros;2 salariés;6 ALLEE DU CLOS DE BEAUVIN 45430 CHECY|02 38 86 89 33
12;LEPAGE SARL;ANTONIO FILIPE;40001028600021;01/01/1995;885 254 euros;9 salariés;4 RUE DU CHATEAU D'EAU 45140 INGRE|02 38 74 91 49|contact@sarl-lepage.fr
13;JEMMA PLOMBERIE SARL;Johny BESSE;80986442400019;17/02/2015;432 387 euros;3 salariés;46 RUE LAVOISIER ZA LE MOULIN DES PIERRES 45470 TRAINOU|02 38 75 27 28|jemma@pbch.fr
14;GENITHERMIE;Thibaut CHALIGNÉ FINAFLUID;45393825000025;15/06/2004;4,34 millions euros;30 salariés;88 ROUTE DU LIMETIN 45700 CHEVILLON SUR HUILLARD|02 38 94 72 65|genithermie@free.fr
15;COUTURIER GREGORY;GREGORY COUTURIER / GREGORY COUTURIER;49487706100056;06/04/2007;414 000 euros;3 salariés;35 RUE JEAN JAURES 45200 MONTARGIS|06 64 61 90 36|greg944@hotmail.com
16;SARL DESPRETZ;Thierry DESPRETZ;48020025200025;01/01/1972;4,35 millions euros;32 salariés;ZONE INDUSTRIELLE DE TAVERS 81 AVENUE D'ORLEANS 45190 BEAUGENCY|02 38 46 93 66|lmoreau@groupe-despretz.fr
17;BRISSON JEAN & FILS ENTREPRISE;Jean Charles BRISSON / JEAN-LOUIS BRISSON;38976742700013;01/01/1993;474 549 euros;5 salariés;4 RUE DU MOULIN 45480 GUIGNONVILLE|02 38 39 97 57|kabri45.kb@gmail.com
18;ENGIE HOME SERVICES;DIRIGEANT;30134058402604;15/07/1997;2,54 millions euros;47 salariés;2234 ORLEANS LES MONTEES 11, RUE DE L'INDUSTRIE 45000 ORLEANS|02 38 88 50 36|veronique.silly@engie.com
19;SARL HUSSONNOIS;Yann HUSSONNOIS;43430712000023;01/01/1977;1,27 millions euros;14 salariés;24 BIS ROUTE D'ISDES 45600 SULLY SUR LOIRE|02 38 36 24 61|sarl.hussonnois@wanadoo.fr
20;PBLC DEPEINT;PATRICK DEPEINT / Bastien DEPEINT / Ludovic DEPEINT;50928134100016;11/01/1993;510 406 euros;4 salariés;901 RUE DE LA MOTTE MOREAU 45470 TRAINOU|02 38 52 93 01|pblc.depeint.sarl@orange.fr
21;HAUDEBOURG FREDERIC;Frederic HAUDEBOURG;45035607600015;01/10/2003;451 104 euros;3 salariés;29 GRANDE RUE 45410 ARTENAY|02 38 80 02 62|haudebourg.frederic@wanadoo.fr
22;ETS LEPAGE;MICHEL LEPAGE / Elisabeth LEPAGE / REYNALD LEPAGE;31333407000023;29/06/1978;1,97 millions euros;17 salariés;58 RUE DE JARGEAU 45300 ASCOUX|02 38 33 00 88|sa.lepage@wanadoo.fr
23;DESPRETZ INDUSTRIE;Thomas DESPRETZ;52035647800039;19/01/2010;3,15 millions euros;32 salariés;81 AVENUE D'ORLEANS 45190 BEAUGENCY|02 38 46 88 38|compta-industrie@groupe-despretz.fr
24;SERVI GAZ;Pascal LEPAGE / Pascal LEPAGE;95045724200044;01/10/1989;1,23 millions euros;17 salariés;257 ROUTE NATIONALE 45140 INGRE|02 38 74 72 72|sav@servigaz45.fr
25;E.R.C.C.;Francois GOMEZ;43442948600062;09/02/2001;4,21 millions euros;22 salariés;ZI D'INGRE 11 RUE DE LA MOUCHETIERE 45140 INGRE|02 38 22 35 10|mgomez@ercc.fr
26;GALLIER;William GASNIER / GERALD GALLIER;41495354700018;31/12/1997;26,67 millions euros;173 salariés;"ZONE ARTISANALE ""LA VALLEE"" 160 R.LEON FOUCAULT 45140 SAINT-JEAN-DE-LA-RUELLE|02 38 70 72 00|gallier@gallier.fr"
27;CHAUFFAGE PLOMBERIE SANITAIRES ET DEPANNAGE;EMMANUEL ESNAULT;43283108900037;20/09/2000;2,31 millions euros;23 salariés;C.P.S.D 60 RUE FLORA TRISTAN 45300 PITHIVIERS|02 38 34 66 30|e.esnault@cpsd.fr
28;AVRIL ERIC;ERIC AVRIL;34519701600024;06/06/1988;370 836 euros;3 salariés;45 RUE DE MONTIGNY 45170 NEUVILLE-AUX-BOIS|02 38 75 55 15|eric.avril3@wanadoo.fr
29;E.C.F FONTAINES SARL;Philippe DUVAL / MICKAEL DUVAL;81053208500026;27/02/2015;785 100 euros;8 salariés;LES MARCHAISONS 45220 CHATEAURENARD|02 38 98 01 36|d.jomas-ecf@orange.fr
30;A. BOUCHER;GREGORY BOUCHER;52503410400014;27/09/2010;346 595 euros;3 salariés;28 AVENUE DE VARENNES 45220 SAINT-GERMAIN-DES-PRES|02 38 94 60 81|alain.boucher.plombier@wanadoo.fr
31;EDL;JONATHAN HOUEL FPJ ASSOCIES;34386441900027;01/01/1988;4,04 millions euros;29 salariés;2 RUE DE RASTIGNAC 45380 LA CHAPELLE SAINT-MESMIN|02 38 22 32 42|contact@edl-sas.fr
32;GAZ SERVICE 45;LIONEL JARRY VALROM;37853388900028;10/07/1990;4,90 millions euros;46 salariés;387 RUE DES MOULINS ZA DE LA NIVELLE 45750 ST PRYVE ST MESMIN|02 38 51 10 00|gaz.service@neuf.fr
33;IDDM;DAVID MELLADO;44344126600014;03/10/2002;169 833 euros;2 salariés;223 IMPASSE DE CLEMENDIERE 45370 DRY|02 38 45 70 54|david.mellado0700@orange.fr
34;DECHAMBRE;Florent DECHAMBRE;83715001000010;01/01/1971;9,21 millions euros;37 salariés;LA TUILERIE 45220 DOUCHY|02 38 87 14 34|dechambresa@aol.com
35;VALADE GILLES;GILLES VALADE;41341917700014;01/07/1997;318 071 euros;4 salariés;11 ROUTE D'ORLEANS 45460 LES BORDES|02 38 29 03 24|valade.gilles@wanadoo.fr
36;BOUHOURS SARL;ARNAUD BOUHOURS / MARC LAMOTTE;41139543700022;16/08/1979;2,01 millions euros;18 salariés;66 RUE DU CLOS RENARD 45110 CHATEAUNEUF SUR LOIRE|02 38 58 44 76|bouhours@wanadoo.fr
37;COSSON SARL;DAVY COSSON;79102803800010;01/02/2013;432 120 euros;6 salariés;33 CHEMIN DES BUISSONS 45220 CHATEAURENARD|02 38 95 61 20|davy.cosson@orange.fr
38;SALGADO JÉRÉMY;Jeremy SALGADO / Delphie GAUTHIER;81384557500014;01/10/2015;120 000 euros;2 salariés;LIEU DIT LES PAINS PERDUS 45600 LION EN SULLIAS|06 98 71 09 65|salgado.jeremy@orange.fr
39;S3C HESS;CLAUDE HESS;38516005600011;01/04/1992;1,47 millions euros;15 salariés;ZIA LE MOULIN A VENT 45250 BRIARE|02 38 37 11 46|s3chess@wanadoo.fr
40;ETABLISSEMENTS HEYER ET MARTIN;Estelle BIAS STELLA;33212273800047;01/01/1985;1,54 millions euros;15 salariés;197 RUE DES FOURCHES 45500 GIEN|02 38 67 12 35|heyer.martin@wanadoo.fr
41;S.G.P.C.;JEAN LUCIEN ROUYERAS;35252626300020;01/10/1989;365 536 euros;4 salariés;12 RUE VIEILLE BOUCHERIE 45500 GIEN|02 38 67 34 29|sgpccompta@orange.fr
42;ADECR;JULIEN BINAME;53528025900016;15/10/2011;224 329 euros;1 salariés;47 RUE DE LA VALLEE 45130 COULMIERS|06 45 52 75 60|adecr@hotmail.fr
43;S.A.R.L. LE FOYER LUMINEUX;VALERIE HURE;38802806000019;01/04/1992;361 199 euros;6 salariés;19 RUE DE L'HOTEL DE VILLE 45340 BOISCOMMUN|02 38 33 76 45|lefoyerlumineux@wanadoo.fr
44;GILET - DAUTIN SARL;François TERRADE;41906372200021;01/06/1998;674 713 euros;6 salariés;ZA DE LA PILLARDIERE CHEMIN DES TERRES 45600 SULLY SUR LOIRE|02 38 36 25 42|giletdautin@giletdautin.fr
45;ATCS;FREDERIC CORNET;48323361500028;13/07/2005;1,02 millions euros;7 salariés;ZA LES CARTELETS 45720 COULLONS|02 38 36 16 69|atcs-sarl@orange.fr
46;HARDY FRERES;DENIS HARDY / DOMINIQUE HARDY;35029427800014;05/04/1989;163 234 euros;3 salariés;15 ROUTE DE MORVILLE 45300 THIGNONVILLE|02 38 39 73 03|dominique.hardy41@aliceadsl.fr
47;LEVEQUE ENTREPRISE;Bruno LEVEQUE;50760749700017;18/08/2008;1,36 millions euros;13 salariés;17 RUE DU CAPITAINE GIRY 45300 PITHIVIERS|02 38 30 03 03|entrepriseleveque@orange.fr
48;BERCIER LECHAUVE;Eric BERCIER;33188889100040;01/01/1985;917 293 euros;9 salariés;ZONE ARTISANALE DE LA CHAMPAGNE 45420 BONNY SUR LOIRE|02 38 31 62 93|sa.bercier-lechauve@wanadoo.fr
49;SD SARL;DAVID SAINTONGE;42815728300022;07/12/1999;1,15 millions euros;7 salariés;PONTHONNE LES AVALLEES ROUTE D'ORLEANS 45150 JARGEAU|02 38 59 72 18|sdponthonne431@orange.fr
50;ENTREPRISE DARGENT-THERMIQUE;MAUD DUPONT / Jérôme HUMBERT;32376540400021;01/02/1982;3,94 millions euros;24 salariés;1 AVENUE AMPERE 45800 SAINT-JEAN-DE-BRAYE|02 38 86 46 46|contact@dargent-thermique.fr
51;PREFABRICATION GATINAISE;RENE DUPRE;41382617300036;01/10/1997;1,97 millions euros;16 salariés;33 RUE NICEPHORE NIEPCE 45700 VILLEMANDEUR|02 38 85 20 07|contact@prefagat.fr
52;FOUQUEAU SARL;JEAN-PAUL FOUQUEAU;42945099200020;01/07/1964;613 631 euros;6 salariés;152 RUE DE L'ORME TISEAU 45470 TRAINOU|02 38 52 71 12|contact@fouqueau.fr
